word,No,Yes,jitter_val_one,jitter_val_two,jitter_one,jitter_two,label_class
1,6.306601750712645e-5,1.8162005085361425e-4,0.47583925863727927,0.5577153146732599,38.06714069098234,44.61722517386079,nolabel
100,1.2613203501425292e-5,9.081002542680712e-5,0.5897490018978715,0.8145627258345485,47.17992015182972,65.16501806676388,nolabel
12,4.666885295527358e-4,1.8162005085361425e-4,0.6202586020808667,0.6201233498286456,49.620688166469336,49.60986798629165,nolabel
12october,1.261320350142529e-4,9.081002542680712e-5,0.8147374626714736,0.02702609379775822,65.17899701371789,2.1620875038206577,nolabel
150,1.2613203501425292e-5,9.081002542680712e-5,0.3662565778940916,0.6735668736509979,29.30052623152733,53.88534989207983,nolabel
1960,1.2613203501425292e-5,9.081002542680712e-5,0.6670159010682255,0.23309949808754027,53.36127208545804,18.64795984700322,nolabel
1971,1.2613203501425292e-5,9.081002542680712e-5,0.1619704447221011,0.6865904312580824,12.957635577768087,54.92723450064659,nolabel
1975,1.0090562801140233e-4,9.081002542680712e-5,0.23301167064346373,0.3143024272285402,18.6409336514771,25.144194178283215,nolabel
1977,1.765848490199541e-4,9.081002542680712e-5,0.09864674136042595,0.5757021680474281,7.891739308834076,46.05617344379425,nolabel
1978,3.279432910370576e-4,9.081002542680712e-5,0.3586265123449266,0.9701562498230487,28.690120987594128,77.6124999858439,nolabel
1979,3.153300875356323e-4,1.8162005085361425e-4,0.9233317119069397,0.7824126326013356,73.86653695255518,62.59301060810685,nolabel
1980,6.432733785726899e-4,1.8162005085361425e-4,0.14323829161003232,0.18102302658371627,11.459063328802586,14.481842126697302,nolabel
1981,6.05433768068414e-4,9.081002542680712e-5,0.30231668008491397,0.4268894759006798,24.185334406793118,34.151158072054386,nolabel
1982,6.306601750712646e-4,4.540501271340356e-4,0.8954875387717038,0.3549913994502276,71.63900310173631,28.39931195601821,nolabel
1983,4.793017330541611e-4,2.7243007628042137e-4,0.8761402112431824,0.3888248272705823,70.0912168994546,31.105986181646585,nolabel
1985,3.7839610504275875e-4,2.7243007628042137e-4,0.8226906429044902,0.2706035908777267,65.81525143235922,21.648287270218134,nolabel
1986,2.3965086652708056e-4,9.081002542680712e-5,0.36110683786682785,0.9425392898265272,28.888547029346228,75.40314318612218,nolabel
1987,6.93726192578391e-4,2.7243007628042137e-4,0.02521659922786057,0.0653906709048897,2.0173279382288456,5.231253672391176,nolabel
1988,9.459902626068969e-4,8.172902288412641e-4,0.4115786380134523,0.7777448336128145,32.92629104107618,62.219586689025164,nolabel
1989,0.001034282687116874,8.172902288412641e-4,0.12488218466751277,0.7823873558081686,9.990574773401022,62.59098846465349,nolabel
1990,0.0014379051991624833,8.172902288412641e-4,0.8087045224383473,0.46176648745313287,64.69636179506779,36.94131899625063,nolabel
1991,9.207638556040463e-4,0.0010897203051216855,0.9668044608552009,0.47323306766338646,77.34435686841607,37.85864541307092,nolabel
1992,0.0016144900481824373,0.002088630584816564,0.7534900947939605,0.7383215569425374,60.279207583516836,59.065724555402994,nolabel
1993,7.946318205897933e-4,9.081002542680712e-4,0.01720040338113904,0.18574126716703176,1.3760322704911232,14.859301373362541,nolabel
1994,0.0016901692691909892,8.172902288412641e-4,0.04747859947383404,0.31798922549933195,3.798287957906723,25.439138039946556,nolabel
1995,0.0011982543326354027,5.448601525608427e-4,0.9571404261514544,0.1339566041715443,76.57123409211636,10.716528333723545,nolabel
1996,0.001299159960646805,0.003541590991645478,0.6546984482556581,0.09609565907157958,52.37587586045265,7.687652725726366,nolabel
1997,0.0016144900481824373,0.0017253904831093353,0.22235411102883518,0.4913022234104574,17.788328882306814,39.30417787283659,nolabel
1998,0.002800131177316415,0.0011805303305484926,0.005102987866848707,0.01744988514110446,0.4082390293478966,1.3959908112883568,nolabel
1999,0.002850583991322116,0.0011805303305484926,0.48534380248747766,0.8243879368528724,38.82750419899821,65.95103494822979,nolabel
1st,1.0090562801140233e-4,9.081002542680712e-5,0.12428652192465961,0.26365791517309844,9.942921753972769,21.092633213847876,nolabel
20,3.783961050427588e-5,9.081002542680712e-5,0.021566164446994662,0.7716659931465983,1.725293155759573,61.73327945172787,nolabel
2000,1.0090562801140233e-4,0.002996730839084635,0.6951982257887721,0.9812107228208333,55.61585806310177,78.49685782566667,nolabel
2002,5.549809540627129e-4,2.7243007628042137e-4,0.9214270759839565,0.8238692546728998,73.71416607871652,65.90954037383199,nolabel
2004,6.306601750712645e-5,0.0013621503814021069,0.25672088866122067,0.06323073524981737,20.537671092897654,5.05845881998539,nolabel
2009,3.783961050427588e-5,9.081002542680712e-5,0.04340871958993375,0.669887613505125,3.4726975671947002,53.591009080410004,nolabel
2010,5.0452814005701166e-5,1.8162005085361425e-4,0.6187189582269639,0.8334909486584365,49.49751665815711,66.67927589267492,nolabel
2012,7.567922100855176e-5,0.0016345804576825282,0.13724501430988312,0.487519686575979,10.97960114479065,39.00157492607832,nolabel
2016,1.2613203501425292e-5,0.002179440610243371,0.5050566103309393,0.9858992411755025,40.40452882647514,78.8719392940402,nolabel
