word,before_honours,after_honours,jitter_val_one,jitter_val_two,jitter_one,jitter_two,label_class
2004,0.0017596782302664656,0.001142857142857143,0.13548706052824855,0.2255287147127092,5.419482421129942,11.27643573563546,nolabel
2008,0.003519356460532931,2.8571428571428574e-4,0.9977410722058266,0.8296690771821886,39.909642888233066,41.48345385910943,nolabel
aboriginal,5.027652086475615e-4,0.003285714285714286,0.7664462805259973,0.7158039996866137,30.65785122103989,35.790199984330684,label
abstract,2.5138260432378077e-4,1.4285714285714287e-4,0.7258857665583491,0.848971510771662,29.035430662333965,42.4485755385831,nolabel
academic,0.0057817998994469585,0.005571428571428572,0.591923990054056,0.7911206698045135,23.676959602162242,39.55603349022567,nolabel
access,2.5138260432378077e-4,7.142857142857143e-4,0.5002417915966362,0.9540077466517687,20.009671663865447,47.700387332588434,nolabel
acclaimed,7.541478129713424e-4,1.4285714285714287e-4,0.8598343492485583,0.998615903314203,34.39337396994233,49.93079516571015,nolabel
achievement,5.027652086475615e-4,2.8571428571428574e-4,0.18206222751177847,0.07970893452875316,7.282489100471139,3.985446726437658,nolabel
actor,0.0030165912518853697,5.714285714285715e-4,0.21391956158913672,0.22209880175068974,8.556782463565469,11.104940087534487,label
administration,0.00904977375565611,0.0064285714285714285,0.5851039276458323,0.0626300813164562,23.404157105833292,3.13150406582281,nolabel
adult,2.5138260432378077e-4,2.8571428571428574e-4,0.2762485072016716,0.8085849359631538,11.049940288066864,40.42924679815769,nolabel
advancement,0.002513826043237808,0.002142857142857143,0.9827711801044643,0.04935904871672392,39.31084720417857,2.467952435836196,nolabel
advances,7.541478129713424e-4,2.8571428571428574e-4,0.28996526659466326,0.16749726538546383,11.59861066378653,8.374863269273192,nolabel
adviser,5.027652086475615e-4,1.4285714285714287e-4,0.8996922322548926,0.7087227732408792,35.9876892901957,35.43613866204396,nolabel
advisory,0.001005530417295123,4.2857142857142855e-4,0.901856918586418,0.8093302468769252,36.07427674345672,40.46651234384626,nolabel
advocacy,0.0022624434389140274,2.8571428571428574e-4,0.08260614518076181,0.8210515971295536,3.3042458072304726,41.05257985647768,nolabel
advocate,0.008044243338360985,0.004285714285714286,0.6653036074712873,0.18570784735493362,26.61214429885149,9.285392367746681,nolabel
affairs,5.027652086475615e-4,0.0012857142857142856,0.6879323197063059,0.03215750330127776,27.517292788252234,1.6078751650638878,nolabel
aged,2.5138260432378077e-4,4.2857142857142855e-4,0.2601675835903734,0.20885999407619238,10.406703343614936,10.442999703809619,label
ageing,2.5138260432378077e-4,1.4285714285714287e-4,0.17942733806557953,0.7475931141525507,7.177093522623181,37.379655707627535,nolabel
aids,2.5138260432378077e-4,2.8571428571428574e-4,0.765487453667447,0.7579285730607808,30.61949814669788,37.89642865303904,nolabel
alcohol,2.5138260432378077e-4,1.4285714285714287e-4,0.14179783198051155,0.31113359285518527,5.671913279220462,15.556679642759264,nolabel
althlete,0.0022624434389140274,0.0014285714285714286,0.06887181173078716,0.5411325725726783,2.7548724692314863,27.056628628633916,nolabel
america,2.5138260432378077e-4,2.8571428571428574e-4,0.5035626688040793,0.576607754221186,20.142506752163172,28.830387711059302,nolabel
analysis,2.5138260432378077e-4,2.8571428571428574e-4,0.36316004395484924,0.5777312149293721,14.52640175819397,28.886560746468604,nolabel
anglican,2.5138260432378077e-4,2.8571428571428574e-4,0.49067141325213015,0.8174824216403067,19.626856530085206,40.874121082015336,nolabel
anti,2.5138260432378077e-4,1.4285714285714287e-4,0.3786850548349321,0.5075415405444801,15.147402193397284,25.377077027224004,nolabel
archaeology,5.027652086475615e-4,1.4285714285714287e-4,0.16173767065629363,0.33717307122424245,6.469506826251745,16.858653561212122,nolabel
architecture,5.027652086475615e-4,8.571428571428571e-4,0.9607965522445738,0.6043489747680724,38.43186208978295,30.21744873840362,nolabel
arcitecture,2.5138260432378077e-4,1.4285714285714287e-4,0.48677591956220567,0.30061521008610725,19.471036782488227,15.030760504305363,nolabel
army,7.541478129713424e-4,4.2857142857142855e-4,0.1318866997025907,0.39494227594695985,5.275467988103628,19.747113797347993,nolabel
art,7.541478129713424e-4,0.003857142857142857,0.27737583173438907,0.09385395469143987,11.095033269375563,4.692697734571993,label
artist,0.0015082956259426848,5.714285714285715e-4,0.07910802331753075,0.6231201160699129,3.16432093270123,31.156005803495646,nolabel
artistic,0.001256913021618904,8.571428571428571e-4,0.6933521521277726,0.3249289244413376,27.734086085110903,16.24644622206688,nolabel
artists,0.0017596782302664656,7.142857142857143e-4,0.326212857151404,0.6345973091665655,13.048514286056161,31.729865458328277,nolabel
arts,0.016339869281045753,0.013857142857142858,0.8788766907528043,0.11593152466230094,35.15506763011217,5.796576233115047,nolabel
assembly,0.001005530417295123,1.4285714285714287e-4,0.8003560604993254,0.8700046585872769,32.014242419973016,43.50023292936385,nolabel
association,2.5138260432378077e-4,8.571428571428571e-4,0.08455468760803342,0.8728744317777455,3.3821875043213367,43.643721588887274,nolabel
associations,0.0015082956259426848,5.714285714285715e-4,0.6907095306087285,0.33534630574285984,27.62838122434914,16.767315287142992,nolabel
asylum,5.027652086475615e-4,2.8571428571428574e-4,0.11419781157746911,0.6266416325233877,4.567912463098764,31.332081626169384,nolabel
athens,0.0017596782302664656,0.001142857142857143,0.3071538587100804,0.8165161504875869,12.286154348403215,40.82580752437934,nolabel
athlete,0.0015082956259426848,1.4285714285714287e-4,0.845773390494287,0.054792651906609535,33.83093561977148,2.7396325953304768,label
australia,0.012317747611865259,0.007714285714285714,0.5562924379482865,0.5375381992198527,22.25169751793146,26.876909960992634,nolabel
