word,before_honours,after_honours,jitter_val_one,jitter_val_two,jitter_one,jitter_two
aboriginal,5.027652086475615e-4,0.003285714285714286,0.5902944994159043,0.1423845081590116,29.514724970795214,7.11922540795058
actor,0.002765208647561589,4.2857142857142855e-4,0.8020333454478532,0.008909023134037852,40.10166727239266,0.4454511567018926
aged,2.5138260432378077e-4,4.2857142857142855e-4,0.30054461071267724,0.6565633111167699,15.027230535633862,32.828165555838495
athlete,0.0015082956259426848,1.4285714285714287e-4,0.10306876245886087,0.02487087552435696,5.153438122943044,1.243543776217848
broadcast,0.004273504273504274,1.4285714285714287e-4,0.6329414921347052,0.09157433710061014,31.64707460673526,4.578716855030507
care,0.002011060834590246,0.003285714285714286,0.011781571200117469,0.277360703330487,0.5890785600058734,13.86803516652435
children's,0.001256913021618904,0.0017142857142857142,0.883972761919722,0.5362576292827725,44.1986380959861,26.812881464138627
coach,0.0032679738562091504,7.142857142857143e-4,0.11302595282904804,0.5923663135617971,5.651297641452402,29.618315678089857
disabilities,2.5138260432378077e-4,0.0017142857142857142,0.8709029832389206,0.21634814701974392,43.54514916194603,10.817407350987196
educator,5.027652086475615e-4,0.001,0.0897325724363327,0.7576624928042293,4.486628621816635,37.88312464021146
entertainer,0.002011060834590246,1.4285714285714287e-4,0.143528952030465,0.21334984502755105,7.17644760152325,10.667492251377553
executive,0.002011060834590246,0.0014285714285714286,0.3099576742388308,0.953980766935274,15.49788371194154,47.6990383467637
fashion,0.001256913021618904,2.8571428571428574e-4,0.03354937699623406,0.8790547091048211,1.677468849811703,43.952735455241054
games,0.016842634489693312,0.011714285714285714,0.7923953353893012,0.0033576127607375383,39.61976676946506,0.16788063803687692
gold,0.016842634489693312,0.012142857142857143,0.25238579441793263,9.68351261690259e-4,12.619289720896631,0.04841756308451295
law,0.007290095525389643,0.0034285714285714284,0.7145092342980206,0.2629672496113926,35.72546171490103,13.14836248056963
legal,0.004273504273504274,0.0018571428571428571,0.4288079496473074,0.7376738227903843,21.44039748236537,36.883691139519215
nursing,5.027652086475615e-4,0.0015714285714285715,0.009897569194436073,0.7973193945363164,0.49487845972180367,39.86596972681582
olympic,0.01256913021618904,0.007,0.1712388712912798,0.9649218618869781,8.56194356456399,48.24609309434891
parliament,0.010306686777275012,0.0024285714285714284,0.08794521703384817,0.4822794303763658,4.397260851692408,24.11397151881829
player,0.003519356460532931,8.571428571428571e-4,0.1195914763957262,0.7647660945076495,5.97957381978631,38.23830472538248
sport,0.019105077928607342,0.017,0.36013663024641573,0.70101349032484,18.006831512320787,35.050674516242
women's,0.002011060834590246,0.004428571428571428,0.5227797441184521,0.3971412742976099,26.138987205922604,19.857063714880496
