"","week_diff","n"
"399",-250,1
"400",-248,1
"401",-247,1
"402",-246,1
"403",-245,3
"404",-244,1
"405",-243,1
"406",-242,1
"407",-241,1
"408",-240,1
"409",-239,3
"410",-238,3
"411",-237,2
"412",-236,1
"413",-235,1
"414",-233,2
"415",-232,4
"416",-231,5
"417",-230,4
"418",-229,2
"419",-228,2
"420",-226,2
"421",-224,3
"422",-223,3
"423",-222,4
"424",-220,3
"425",-219,2
"426",-218,2
"427",-215,3
"428",-214,1
"429",-213,2
"430",-212,4
"431",-211,2
"432",-209,2
"433",-206,6
"434",-204,1
"435",-203,2
"436",-202,2
"437",-201,1
"438",-200,7
"439",-199,3
"440",-198,3
"441",-197,1
"442",-195,4
"443",-194,2
"444",-192,2
"445",-191,2
"446",-190,5
"447",-189,2
"448",-187,1
"449",-186,1
"450",-185,1
"451",-183,1
"452",-182,3
"453",-181,1
"454",-180,3
"455",-178,1
"456",-177,2
"457",-176,2
"458",-175,2
"459",-174,2
"460",-173,3
"461",-170,2
"462",-169,3
"463",-168,1
"464",-167,1
"465",-165,1
"466",-164,4
"467",-161,2
"468",-160,2
"469",-159,3
"470",-158,3
"471",-157,2
"472",-156,2
"473",-155,3
"474",-153,4
"475",-152,4
"476",-150,5
"477",-148,1
"478",-147,1
"479",-145,1
"480",-143,2
"481",-142,1
"482",-141,2
"483",-139,2
"484",-138,3
"485",-137,1
"486",-136,2
"487",-135,2
"488",-134,1
"489",-133,3
"490",-132,10
"491",-131,5
"492",-130,4
"493",-128,3
"494",-127,6
"495",-126,4
"496",-125,2
"497",-124,1
"498",-123,1
"499",-122,3
"500",-121,12
"501",-120,1
"502",-119,2
"503",-118,1
"504",-117,1
"505",-116,1
"506",-115,1
"507",-114,3
"508",-113,3
"509",-112,1
"510",-111,3
"511",-109,3
"512",-108,3
"513",-107,3
"514",-106,3
"515",-105,1
"516",-104,3
"517",-103,2
"518",-102,1
"519",-101,5
"520",-100,2
"521",-99,1
"522",-98,1
"523",-97,4
"524",-96,6
"525",-95,2
"526",-94,1
"527",-93,2
"528",-92,3
"529",-91,3
"530",-90,1
"531",-89,3
"532",-88,5
"533",-87,2
"534",-86,2
"535",-85,3
"536",-84,1
"537",-83,4
"538",-82,14
"539",-81,5
"540",-80,3
"541",-79,2
"542",-78,5
"543",-77,2
"544",-76,3
"545",-75,2
"546",-74,3
"547",-73,5
"548",-72,5
"549",-71,2
"550",-70,1
"551",-69,3
"552",-68,3
"553",-67,3
"554",-66,4
"555",-64,2
"556",-63,2
"557",-62,1
"558",-61,3
"559",-60,2
"560",-59,7
"561",-58,10
"562",-56,2
"563",-55,2
"564",-54,4
"565",-53,2
"566",-52,1
"567",-50,1
"568",-49,1
"569",-48,1
"570",-47,2
"571",-46,3
"572",-45,6
"573",-43,3
"574",-41,2
"575",-40,5
"576",-39,2
"577",-38,3
"578",-37,3
"579",-36,3
"580",-35,4
"581",-34,2
"582",-33,5
"583",-31,2
"584",-30,4
"585",-29,2
"586",-27,5
"587",-26,10
"588",-25,8
"589",-24,12
"590",-23,5
"591",-22,5
"592",-21,2
"593",-20,3
"594",-19,3
"595",-18,3
"596",-17,1
"597",-16,4
"598",-15,2
"599",-14,7
"600",-13,3
"601",-12,5
"602",-10,2
"603",-8,3
"604",-7,5
"605",-6,3
"606",-5,1
"607",-3,3
"608",-2,3
"609",-1,4
"610",0,47
"611",1,6
"612",2,7
"613",3,7
"614",4,1
"615",5,3
"616",6,4
"617",7,3
"618",8,1
"619",9,5
"620",10,1
"621",11,2
"622",12,8
"623",13,4
"624",14,2
"625",15,5
"626",16,3
"627",17,2
"628",19,2
"629",20,2
"630",21,2
"631",22,1
"632",23,5
"633",24,2
"634",25,1
"635",26,4
"636",27,2
"637",28,3
"638",29,3
"639",30,2
"640",31,2
"641",34,1
"642",35,5
"643",36,4
"644",37,2
"645",38,2
"646",39,5
"647",40,1
"648",41,2
"649",42,3
"650",43,2
"651",44,1
"652",45,4
"653",46,3
"654",47,4
"655",48,3
"656",49,6
"657",50,2
"658",51,1
"659",52,2
"660",53,1
"661",54,9
"662",55,1
"663",56,1
"664",57,1
"665",58,1
"666",59,3
"667",60,4
"668",61,1
"669",62,2
"670",63,5
"671",64,4
"672",65,3
"673",66,1
"674",67,3
"675",68,3
"676",69,2
"677",70,3
"678",71,1
"679",72,2
"680",74,5
"681",75,3
"682",76,2
"683",77,3
"684",78,2
"685",79,6
"686",80,3
"687",81,2
"688",82,6
"689",83,2
"690",84,2
"691",85,3
"692",86,1
"693",87,5
"694",88,4
"695",89,3
"696",90,3
"697",92,3
"698",93,1
"699",94,4
"700",95,4
"701",96,1
"702",97,1
"703",98,2
"704",99,2
"705",100,2
"706",101,1
"707",102,2
"708",103,2
"709",104,1
"710",105,2
"711",107,2
"712",108,2
"713",109,3
"714",111,1
"715",112,5
"716",113,3
"717",114,1
"718",115,3
"719",116,2
"720",117,3
"721",120,6
"722",121,1
"723",123,2
"724",124,6
"725",125,4
"726",126,3
"727",127,2
"728",128,1
"729",129,2
"730",130,2
"731",131,1
"732",133,2
"733",134,3
"734",135,4
"735",136,10
"736",137,2
"737",138,2
"738",139,4
"739",140,7
"740",141,4
"741",142,2
"742",143,1
"743",144,5
"744",146,1
"745",147,1
"746",149,3
"747",150,5
"748",151,4
"749",153,3
