word,before_honours,after_honours,jitter_val_one,jitter_val_two,jitter_one,jitter_two,label_class
2004,0.0017596782302664656,0.001142857142857143,0.9577516105491668,0.18900161748751998,28.732548316475004,6.615056612063199,nolabel
2008,0.003519356460532931,2.8571428571428574e-4,0.9244684739969671,0.763753876555711,27.734054219909012,26.731385679449886,nolabel
aboriginal,5.027652086475615e-4,0.003285714285714286,0.6514613043982536,0.16863544122315943,19.543839131947607,5.90224044281058,label
abstract,2.5138260432378077e-4,1.4285714285714287e-4,0.9721588275860995,0.0010731276124715805,29.164764827582985,0.03755946643650532,nolabel
academic,0.0057817998994469585,0.005571428571428572,0.5693667605519295,0.290978574892506,17.081002816557884,10.18425012123771,nolabel
access,2.5138260432378077e-4,7.142857142857143e-4,0.9367050318978727,0.9275977571960539,28.10115095693618,32.465921501861885,nolabel
acclaimed,7.541478129713424e-4,1.4285714285714287e-4,0.7527091540396214,0.018242374528199434,22.58127462118864,0.6384831084869802,nolabel
achievement,5.027652086475615e-4,2.8571428571428574e-4,0.7867804046254605,0.6502340668812394,23.603412138763815,22.75819234084338,nolabel
actor,0.0030165912518853697,5.714285714285715e-4,0.5299727157689631,0.3435429090168327,15.899181473068893,12.024001815589145,label
administration,0.00904977375565611,0.0064285714285714285,0.017628410831093788,0.7816577018238604,0.5288523249328136,27.358019563835114,nolabel
adult,2.5138260432378077e-4,2.8571428571428574e-4,0.6444266454782337,0.4744568420574069,19.33279936434701,16.60598947200924,nolabel
advancement,0.002513826043237808,0.002142857142857143,0.9803363555110991,0.7020020850468427,29.410090665332973,24.570072976639494,nolabel
advances,7.541478129713424e-4,2.8571428571428574e-4,0.26438517589122057,0.8606306677684188,7.931555276736617,30.122073371894658,nolabel
adviser,5.027652086475615e-4,1.4285714285714287e-4,0.5717616998590529,0.20290004438720644,17.152850995771587,7.101501553552225,nolabel
advisory,0.001005530417295123,4.2857142857142855e-4,0.28934029629454017,0.7481358053628355,8.680208888836205,26.184753187699243,nolabel
advocacy,0.0022624434389140274,2.8571428571428574e-4,0.8585826568305492,0.4108608493115753,25.757479704916477,14.380129725905135,nolabel
advocate,0.008044243338360985,0.004285714285714286,0.6058558207005262,0.8122397053521127,18.175674621015787,28.428389687323943,nolabel
affairs,5.027652086475615e-4,0.0012857142857142856,0.4410674946848303,0.27765631792135537,13.23202484054491,9.717971127247438,nolabel
aged,2.5138260432378077e-4,4.2857142857142855e-4,0.6518641517031938,0.14455057866871357,19.555924551095814,5.059270253404975,label
ageing,2.5138260432378077e-4,1.4285714285714287e-4,0.30096593545749784,0.5783284325152636,9.028978063724935,20.241495138034225,nolabel
aids,2.5138260432378077e-4,2.8571428571428574e-4,0.7731060616206378,0.2787876408547163,23.193181848619133,9.75756742991507,nolabel
alcohol,2.5138260432378077e-4,1.4285714285714287e-4,0.3294770976062864,0.16776200872845948,9.884312928188592,5.871670305496082,nolabel
althlete,0.0022624434389140274,0.0014285714285714286,0.17971640173345804,0.023437119787558913,5.391492052003741,0.820299192564562,nolabel
america,2.5138260432378077e-4,2.8571428571428574e-4,0.9628298156894743,0.2601664359681308,28.88489447068423,9.105825258884579,nolabel
analysis,2.5138260432378077e-4,2.8571428571428574e-4,0.19093373115174472,0.04537710198201239,5.728011934552342,1.5881985693704337,nolabel
anglican,2.5138260432378077e-4,2.8571428571428574e-4,0.382391199702397,0.9121529257390648,11.47173599107191,31.92535240086727,nolabel
anti,2.5138260432378077e-4,1.4285714285714287e-4,0.6312782443128526,0.04404735960997641,18.93834732938558,1.5416575863491744,nolabel
archaeology,5.027652086475615e-4,1.4285714285714287e-4,0.8141861746553332,0.0075909828301519156,24.425585239659995,0.26568439905531704,nolabel
architecture,5.027652086475615e-4,8.571428571428571e-4,0.051813727244734764,0.35418953327462077,1.554411817342043,12.396633664611727,nolabel
arcitecture,2.5138260432378077e-4,1.4285714285714287e-4,0.015776188112795353,0.5303121008910239,0.4732856433838606,18.560923531185836,nolabel
army,7.541478129713424e-4,4.2857142857142855e-4,0.9351938960608095,0.7276938348077238,28.055816881824285,25.46928421827033,nolabel
art,7.541478129713424e-4,0.003857142857142857,0.09114063857123256,0.051866383058950305,2.7342191571369767,1.8153234070632607,label
artist,0.0015082956259426848,5.714285714285715e-4,0.7913926239125431,0.18975921045057476,23.74177871737629,6.6415723657701164,nolabel
artistic,0.001256913021618904,8.571428571428571e-4,0.6909551059361547,0.732452069176361,20.72865317808464,25.635822421172634,nolabel
artists,0.0017596782302664656,7.142857142857143e-4,0.5219588277395815,0.23596496344543993,15.658764832187444,8.258773720590398,nolabel
arts,0.016339869281045753,0.013857142857142858,0.9797154276166111,0.5963024110533297,29.391462828498334,20.87058438686654,nolabel
assembly,0.001005530417295123,1.4285714285714287e-4,0.920935180503875,0.24049544427543879,27.62805541511625,8.417340549640357,nolabel
association,2.5138260432378077e-4,8.571428571428571e-4,0.304657791974023,0.7673269482329488,9.13973375922069,26.856443188153207,nolabel
associations,0.0015082956259426848,5.714285714285715e-4,0.30513198184780777,0.9642044268548489,9.153959455434233,33.74715493991971,nolabel
asylum,5.027652086475615e-4,2.8571428571428574e-4,0.12022063857875764,0.7645123393740505,3.6066191573627293,26.757931878091767,nolabel
athens,0.0017596782302664656,0.001142857142857143,0.17653988068923354,0.5309265949763358,5.296196420677006,18.58243082417175,nolabel
athlete,0.0015082956259426848,1.4285714285714287e-4,0.7999215871095657,0.9631099861580878,23.997647613286972,33.708849515533075,label
